level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],90.15372286,11.15787147,87.10112126
1,2008M02 [2008M02],90.69464421,11.31277931,94.02533867
2,2008M03 [2008M03],91.11183974,10.79190489,93.49068228
3,2008M04 [2008M04],91.63117782,10.70053974,98.75009959
4,2008M05 [2008M05],92.21761691,9.939990236,111.3207157
5,2008M06 [2008M06],92.68792765,10.25353334,107.700717
6,2008M07 [2008M07],93.0957546,10.74655784,97.43919331
7,2008M08 [2008M08],93.52399375,9.955455987,89.20503573
8,2008M09 [2008M09],93.91679435,10.41319715,73.15109274
9,2008M10 [2008M10],94.31124641,10.37256222,45.59145327
10,2008M11 [2008M11],94.60361032,10.76314063,41.26267953
11,2008M12 [2008M12],94.92526191,10.66185448,40.53269082
12,2009M01 [2009M01],95.35242606,11.38620277,44.46295818
13,2009M02 [2009M02],96.01989395,11.0461896,45.02011125
14,2009M03 [2009M03],96.24073903,11.21533302,44.30070635
15,2009M04 [2009M04],96.77968805,11.18694558,53.18614321
16,2009M05 [2009M05],97.30229824,11.05146273,64.04678083
17,2009M06 [2009M06],97.5650137,10.58736517,68.94233549
18,2009M07 [2009M07],97.84795282,10.60104679,70.11222374
19,2009M08 [2009M08],98.05343256,10.64382075,79.62527505
20,2009M09 [2009M09],98.35739842,10.40062815,84.47094429
21,2009M10 [2009M10],98.59345657,10.40440513,95.4051061
22,2009M11 [2009M11],98.95825295,10.46381073,99.16399712
23,2009M12 [2009M12],99.41345939,10.71723717,100.8596521
24,2010M01 [2010M01],100,9.942017815,100
25,2010M02 [2010M02],100.6799998,9.639241838,93.01196639
26,2010M03 [2010M03],101.1028549,9.39491136,100.3049138
27,2010M04 [2010M04],101.5274884,9.140486643,102.9692479
28,2010M05 [2010M05],102.0960423,9.298603028,89.53772884
29,2010M06 [2010M06],102.4635869,9.079407205,90.86708797
30,2010M07 [2010M07],102.7094995,9.15393327,93.99118677
31,2010M08 [2010M08],102.8327504,8.867911432,98.1442133
32,2010M09 [2010M09],103.2132329,8.344827116,102.3215851
33,2010M10 [2010M10],103.6673698,8.304863769,108.7326439
34,2010M11 [2010M11],104.2064403,8.256005663,106.5917492
35,2010M12 [2010M12],104.8316789,8.401312165,104.9152747
36,2011M01 [2011M01],105.6283998,8.248052523,108.0056339
37,2011M02 [2011M02],106.6424327,8.249661161,103.4490133
38,2011M03 [2011M03],107.3889299,7.849980685,105.0937712
39,2011M04 [2011M04],107.9473521,7.986299979,110.3716611
40,2011M05 [2011M05],108.5302689,7.927335273,102.4320569
41,2011M06 [2011M06],109.1380374,7.966763592,101.8247898
42,2011M07 [2011M07],109.498193,7.974045382,100.3100003
43,2011M08 [2011M08],109.8485867,8.004735732,87.51087892
44,2011M09 [2011M09],110.3429062,8.041981034,82.14400942
45,2011M10 [2011M10],110.8615173,7.852286847,80.25199604
46,2011M11 [2011M11],111.3825667,7.599381112,82.59943432
47,2011M12 [2011M12],111.8392361,7.48826942,80.9491712
48,2012M01 [2012M01],112.4990866,7.535043659,88.00932848
49,2012M02 [2012M02],113.1740812,7.517653252,98.86464905
50,2012M03 [2012M03],113.4117473,7.357621889,96.3684496
51,2012M04 [2012M04],114.1942885,7.309253472,87.45117722
52,2012M05 [2012M05],114.6053876,7.316725712,74.62857828
53,2012M06 [2012M06],114.6626904,7.326047349,69.09362399
54,2012M07 [2012M07],115.190139,7.263442801,69.81760504
55,2012M08 [2012M08],115.6508998,7.257150073,74.43762502
56,2012M09 [2012M09],116.1944588,7.220146587,76.8271192
57,2012M10 [2012M10],116.7870506,7.177220524,74.84392673
58,2012M11 [2012M11],117.5228087,7.208418249,71.68113598
59,2012M12 [2012M12],118.4159818,7.427999794,74.30689202
60,2013M01 [2013M01],119.1620022,7.522465265,78.64426196
61,2013M02 [2013M02],119.4956564,7.598324832,76.0189938
62,2013M03 [2013M03],119.9138906,7.462618103,74.26786563
63,2013M04 [2013M04],120.5374433,7.40553991,70.94122261
64,2013M05 [2013M05],121.1280772,7.324265716,70.582505
65,2013M06 [2013M06],121.6852667,7.237222381,59.22991469
66,2013M07 [2013M07],121.9286359,7.169559039,54.23375333
67,2013M08 [2013M08],122.4285443,7.056601336,55.3350111
68,2013M09 [2013M09],123.0162016,7.000199617,61.41180914
69,2013M10 [2013M10],123.6435829,6.960321495,64.1229873
70,2013M11 [2013M11],124.3483511,6.881552935,59.56310179
71,2013M12 [2013M12],125.2685296,6.665140432,56.17141382
72,2014M01 [2014M01],125.8948722,6.683036545,53.49739737
73,2014M02 [2014M02],126.8894409,6.612673233,51.59352356
74,2014M03 [2014M03],127.6254003,6.739208859,52.49350587
75,2014M04 [2014M04],128.2890522,6.739616649,59.82929248
76,2014M05 [2014M05],128.9818142,6.757685356,62.02967985
77,2014M06 [2014M06],129.8975839,6.664460264,62.25640496
78,2014M07 [2014M07],130.1443902,6.785678467,65.03034143
79,2014M08 [2014M08],130.6909965,6.854373477,66.07254759
80,2014M09 [2014M09],131.4097958,6.883308923,64.80970269
81,2014M10 [2014M10],131.9485762,6.847621399,57.55438932
82,2014M11 [2014M11],132.3840068,6.872213021,54.5072691
83,2014M12 [2014M12],133.35041,6.965563388,49.11489141
84,2015M01 [2015M01],134.8972754,7.075444935,47.62621918
85,2015M02 [2015M02],136.1113515,7.294819701,46.13259955
86,2015M03 [2015M03],137.9352427,7.429396607,41.60856143
87,2015M04 [2015M04],138.9697567,7.597504818,46.52465738
88,2015M05 [2015M05],139.8313688,7.838802692,47.30106005
89,2015M06 [2015M06],141.0758691,8.150330305,44.61928754
90,2015M07 [2015M07],142.0775079,8.381650922,41.5065747
91,2015M08 [2015M08],142.532156,8.657991198,35.10297365
92,2015M09 [2015M09],143.3160821,9.00996179,30.90699876
93,2015M10 [2015M10],144.0756569,9.217709607,31.59727141
94,2015M11 [2015M11],144.8392579,9.486582846,32.33474015
95,2015M12 [2015M12],145.9400371,9.492207729,29.99233442
96,2016M01 [2016M01],147.2972795,9.823175479,25.12951553
97,2016M02 [2016M02],148.5640356,10.04654254,26.76772466
98,2016M03 [2016M03],148.9057332,10.28586794,34.52171634
99,2016M04 [2016M04],149.8736211,10.64107929,37.81025634
100,2016M05 [2016M05],151.3423819,10.85518195,37.39594712
101,2016M06 [2016M06],151.932617,11.12902583,38.09911739
102,2016M07 [2016M07],152.479575,11.47695478,43.51620113
103,2016M08 [2016M08],153.1962279,11.77971558,46.86025711
104,2016M09 [2016M09],153.4873011,11.97848994,46.58719517
105,2016M10 [2016M10],153.9477629,12.21851726,51.01355617
106,2016M11 [2016M11],154.4557909,12.41436022,48.02943132
107,2016M12 [2016M12],154.9346037,12.72720666,45.7262729
108,2017M01 [2017M01],155.5388481,12.9159988,51.5584987
109,2017M02 [2017M02],156.4565286,12.96119368,55.55531573
110,2017M03 [2017M03],157.1136453,12.94720402,53.95378284
111,2017M04 [2017M04],157.3493155,12.94997468,53.25554314
112,2017M05 [2017M05],158.1517976,12.90256074,52.72856779
113,2017M06 [2017M06],158.2783188,12.84082327,48.76634043
114,2017M07 [2017M07],158.9114322,12.7094699,52.2705481
115,2017M08 [2017M08],159.1815819,12.64629798,56.56471987
116,2017M09 [2017M09],159.3885174,12.61545739,61.47041189
117,2017M10 [2017M10],160.0738885,12.61450271,61.80266146
118,2017M11 [2017M11],160.4100426,12.5910638,58.40961796
119,2017M12 [2017M12],160.8752321,12.45705178,58.1916358
120,2018M01 [2018M01],160.8269698,12.43282347,65.67726366
121,2018M02 [2018M02],161.4702784,12.36180741,67.6366766
122,2018M03 [2018M03],161.6801887,12.38456101,67.44621541
123,2018M04 [2018M04],162.0035497,12.30046689,64.7377695
124,2018M05 [2018M05],162.4085578,12.31766205,58.74267967
125,2018M06 [2018M06],163.4317326,12.28334489,49.78846952
126,2018M07 [2018M07],164.592097,12.23722849,52.27173041
127,2018M08 [2018M08],164.9048223,12.19059731,51.37940388
128,2018M09 [2018M09],165.4325175,12.11535279,48.7101283
129,2018M10 [2018M10],165.7633835,12.08699843,58.11649536
130,2018M11 [2018M11],165.5478899,12.16134874,59.65398041
131,2018M12 [2018M12],166.127308,12.20494281,58.11249758
132,2019M01 [2019M01],166.7253671,12.19157763,65.59883157
133,2019M02 [2019M02],167.3255781,12.15833723,67.38988112
134,2019M03 [2019M03],167.827555,12.01550984,65.06644817
135,2019M04 [2019M04],168.5324301,11.93014263,63.42237567
136,2019M05 [2019M05],168.8020832,11.92665979,61.04347447
137,2019M06 [2019M06],169.2409671,11.90275158,66.56321147
138,2019M07 [2019M07],169.9687035,11.75034303,70.98270145
139,2019M08 [2019M08],170.4786096,11.91636436,64.8110417
140,2019M09 [2019M09],170.5808972,12.00730671,65.19027672
141,2019M10 [2019M10],170.6491294,11.96832599,66.41492889
142,2019M11 [2019M11],171.3146612,11.73453848,67.20035103
143,2019M12 [2019M12],171.7943423,11.55746166,71.06909395
144,2020M01 [2020M01],172.0863926,11.37499538,72.96108551
145,2020M02 [2020M02],172.6886956,11.38490333,67.59947576
146,2020M03 [2020M03],172.7577707,11.55333629,43.88287323
147,2020M04 [2020M04],172.7750468,12.0197424,37.78958321
148,2020M05 [2020M05],172.446773,12.5036899,37.50391142
149,2020M06 [2020M06],172.4985068,12.5036899,47.00965079
150,2020M07 [2020M07],172.4985068,12.5036899,48.9414638
