level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],97.6702509,5.9,116.9719847
1,2008M02 [2008M02],98.02867384,5.9,119.5545485
2,2008M03 [2008M03],98.2078853,6.1,118.3120665
3,2008M04 [2008M04],98.47670251,6,122.7289124
4,2008M05 [2008M05],98.83512545,6,130.7722859
5,2008M06 [2008M06],98.83512545,6,129.5065891
6,2008M07 [2008M07],98.92473118,6.1,120.3492613
7,2008M08 [2008M08],99.01433692,6.1,113.3999682
8,2008M09 [2008M09],99.28315412,6.1,105.3323882
9,2008M10 [2008M10],99.10394265,6.2,74.53632948
10,2008M11 [2008M11],99.7311828,6.6,66.4656127
11,2008M12 [2008M12],99.46236559,6.9,61.49618309
12,2009M01 [2009M01],98.83512545,7.4,65.03806041
13,2009M02 [2009M02],99.28315412,8,60.69071223
14,2009M03 [2009M03],99.55197133,8.1,58.95056299
15,2009M04 [2009M04],99.64157706,8.3,67.45956124
16,2009M05 [2009M05],100.0896057,8.6,78.15936617
17,2009M06 [2009M06],100.0896057,8.7,82.37595375
18,2009M07 [2009M07],99.91039427,8.7,82.28836416
19,2009M08 [2009M08],99.91039427,8.7,88.91531688
20,2009M09 [2009M09],100.1792115,8.4,93.16428685
21,2009M10 [2009M10],100.3584229,8.4,95.79246526
22,2009M11 [2009M11],100.5376344,8.5,96.49130494
23,2009M12 [2009M12],100.0896057,8.5,98.11687843
24,2010M01 [2010M01],100,8.3,100
25,2010M02 [2010M02],100.7168459,8.2,97.03953377
26,2010M03 [2010M03],100.4480287,8.2,104.6672415
27,2010M04 [2010M04],100.8064516,8.1,108.2482102
28,2010M05 [2010M05],101.0752688,8,101.61322
29,2010M06 [2010M06],100.9856631,7.9,100.5566214
30,2010M07 [2010M07],101.2544803,8.1,99.2373024
31,2010M08 [2010M08],101.2544803,8.1,100.7704409
32,2010M09 [2010M09],101.6129032,8.1,105.3282884
33,2010M10 [2010M10],102.0609319,7.8,110.4825094
34,2010M11 [2010M11],102.0609319,7.6,113.5001097
35,2010M12 [2010M12],101.702509,7.6,117.8264394
36,2011M01 [2011M01],101.6129032,7.7,120.6002584
37,2011M02 [2011M02],101.8817204,7.7,126.0136728
38,2011M03 [2011M03],102.5089606,7.7,127.6545195
39,2011M04 [2011M04],102.5089606,7.6,130.5066421
40,2011M05 [2011M05],103.046595,7.5,125.950609
41,2011M06 [2011M06],102.4193548,7.5,120.2287105
42,2011M07 [2011M07],102.4193548,7.3,124.510611
43,2011M08 [2011M08],102.7777778,7.3,112.8117669
44,2011M09 [2011M09],103.4946237,7.4,108.3378647
45,2011M10 [2011M10],103.5842294,7.4,104.732587
46,2011M11 [2011M11],103.6738351,7.5,105.1071793
47,2011M12 [2011M12],103.046595,7.4,103.6361459
48,2012M01 [2012M01],103.2258065,7.6,108.9590453
49,2012M02 [2012M02],103.5842294,7.5,112.6472387
50,2012M03 [2012M03],104.0322581,7.3,112.2809939
51,2012M04 [2012M04],104.4802867,7.3,109.4134988
52,2012M05 [2012M05],104.5698925,7.4,103.171875
53,2012M06 [2012M06],104.1218638,7.2,100.1280404
54,2012M07 [2012M07],103.7634409,7.3,102.6545604
55,2012M08 [2012M08],103.9426523,7.2,107.4784212
56,2012M09 [2012M09],104.3010753,7.3,112.3490382
57,2012M10 [2012M10],104.5698925,7.4,111.8043406
58,2012M11 [2012M11],104.5698925,7.2,109.1703163
59,2012M12 [2012M12],103.9426523,7.2,111.1355548
60,2013M01 [2013M01],103.8530466,7.1,114.3093264
61,2013M02 [2013M02],104.7491039,7.1,112.9319932
62,2013M03 [2013M03],105.0179211,7.3,111.6392657
63,2013M04 [2013M04],105.0179211,7.1,108.0593821
64,2013M05 [2013M05],105.1075269,7,110.3433689
65,2013M06 [2013M06],105.0179211,7.1,106.0248397
66,2013M07 [2013M07],104.9283154,7.2,107.406264
67,2013M08 [2013M08],104.9283154,7.1,108.5371912
68,2013M09 [2013M09],105.2867384,7,110.8952463
69,2013M10 [2013M10],105.5555556,7,112.715908
70,2013M11 [2013M11],105.2867384,7,114.2962877
71,2013M12 [2013M12],104.9283154,7.2,112.218915
72,2014M01 [2014M01],105.1075269,7,112.2305613
73,2014M02 [2014M02],105.9139785,7,113.0050372
74,2014M03 [2014M03],106.2724014,7,115.0384842
75,2014M04 [2014M04],106.4516129,7,117.5886429
76,2014M05 [2014M05],106.7204301,7,120.2513646
77,2014M06 [2014M06],106.7204301,7,123.6692127
78,2014M07 [2014M07],106.5412186,7.1,127.2292636
79,2014M08 [2014M08],106.9892473,7,126.0673935
80,2014M09 [2014M09],107.2580645,6.9,124.7520814
81,2014M10 [2014M10],107.7060932,6.7,115.3939787
82,2014M11 [2014M11],107.3476703,6.7,117.077308
83,2014M12 [2014M12],106.8996416,6.7,111.1624399
84,2015M01 [2015M01],107.078853,6.6,106.7397003
85,2015M02 [2015M02],107.7956989,6.8,108.461006
86,2015M03 [2015M03],108.4229391,6.8,105.8815599
87,2015M04 [2015M04],108.4229391,6.8,111.04381
88,2015M05 [2015M05],108.6917563,6.8,111.1388178
89,2015M06 [2015M06],108.6917563,6.9,107.4102126
90,2015M07 [2015M07],108.6917563,6.8,100.4112199
91,2015M08 [2015M08],108.8709677,7,95.23870261
92,2015M09 [2015M09],109.2293907,7.1,90.76822768
93,2015M10 [2015M10],109.4982079,7,94.16027728
94,2015M11 [2015M11],109.2293907,7.1,90.51917693
95,2015M12 [2015M12],108.6917563,7.1,85.67281711
96,2016M01 [2016M01],108.9605735,7.2,78.13336471
97,2016M02 [2016M02],109.5878136,7.3,82.00384714
98,2016M03 [2016M03],110.3046595,7.1,90.6088698
99,2016M04 [2016M04],110.483871,7.1,95.32649249
100,2016M05 [2016M05],110.9318996,6.9,95.80387616
101,2016M06 [2016M06],111.0215054,6.8,97.51413253
102,2016M07 [2016M07],110.9318996,7,99.06740724
103,2016M08 [2016M08],110.9318996,6.9,101.1139245
