level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],95.75757576,3.35713362,118.0025395
1,2008M02 [2008M02],96.48484848,3.289158408,110.9073308
2,2008M03 [2008M03],96.72727273,3.24606282,105.1147664
3,2008M04 [2008M04],97.33333333,3.244304465,114.3952709
4,2008M05 [2008M05],97.57575758,3.226061549,117.3221164
5,2008M06 [2008M06],98.3030303,3.204069321,107.6705425
6,2008M07 [2008M07],98.90909091,3.205783841,102.6301852
7,2008M08 [2008M08],96.72727273,3.256378532,99.54062581
8,2008M09 [2008M09],96.72727273,3.478148019,90.18427868
9,2008M10 [2008M10],97.21212121,3.62877931,69.75182923
10,2008M11 [2008M11],100,3.899767196,63.49367425
11,2008M12 [2008M12],99.87878788,4.192363132,68.26768407
12,2009M01 [2009M01],100.1212121,4.639350585,64.48305942
13,2009M02 [2009M02],99.27272727,5.002071852,61.5713676
14,2009M03 [2009M03],99.63636364,5.149422089,59.83826008
15,2009M04 [2009M04],100.1212121,5.295146971,70.31476168
16,2009M05 [2009M05],99.75757576,5.255849135,80.10227089
17,2009M06 [2009M06],99.51515152,5.316356897,85.80709726
18,2009M07 [2009M07],99.51515152,5.476673798,88.43961977
19,2009M08 [2009M08],97.21212121,5.52465157,95.78363509
20,2009M09 [2009M09],96.84848485,5.391844148,97.87145514
21,2009M10 [2009M10],100.2424242,5.222301646,101.309485
22,2009M11 [2009M11],100.3636364,5.149999168,103.7140085
23,2009M12 [2009M12],100.6060606,5.039197339,101.7099747
24,2010M01 [2010M01],100,4.964274341,100
25,2010M02 [2010M02],100.4848485,4.706244833,94.50184294
26,2010M03 [2010M03],100,4.425361335,98.52187753
27,2010M04 [2010M04],100.969697,4.530011891,101.0064505
28,2010M05 [2010M05],100.7272727,4.65999351,92.89401001
29,2010M06 [2010M06],100.969697,4.608458099,93.60081053
30,2010M07 [2010M07],97.45454545,4.355208602,95.35060502
31,2010M08 [2010M08],97.45454545,4.351300626,98.49937762
32,2010M09 [2010M09],97.45454545,4.191471531,101.1291272
33,2010M10 [2010M10],101.6969697,4.178274741,108.9026447
34,2010M11 [2010M11],102.1818182,4.063170424,111.2972486
