level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],101.1077543,3.948126053,109.0852418
1,2008M02 [2008M02],100.8056395,4.053455504,108.0572072
2,2008M03 [2008M03],101.3091641,3.880724908,106.7341645
3,2008M04 [2008M04],101.510574,3.9119398,111.1774766
4,2008M05 [2008M05],101.611279,3.945349827,114.6551008
5,2008M06 [2008M06],101.611279,3.937236208,112.5904536
6,2008M07 [2008M07],101.510574,3.870692863,105.2373149
7,2008M08 [2008M08],101.611279,4.118717189,101.4096319
8,2008M09 [2008M09],101.8126888,3.984355083,96.97821693
9,2008M10 [2008M10],101.9133938,3.758068299,77.65673579
10,2008M11 [2008M11],101.7119839,4.080020918,75.38450273
11,2008M12 [2008M12],101.7119839,4.446259288,79.29472031
12,2009M01 [2009M01],100.9063444,4.269314915,78.75559525
13,2009M02 [2009M02],100.7049345,4.597720621,70.81233114
14,2009M03 [2009M03],101.0070493,4.847876063,67.82281085
15,2009M04 [2009M04],101.1077543,4.931715267,75.6709977
16,2009M05 [2009M05],101.1077543,5.113975417,82.68312341
17,2009M06 [2009M06],100.9063444,5.191581082,86.69432749
18,2009M07 [2009M07],100.6042296,5.461411048,87.61912588
19,2009M08 [2009M08],100.7049345,5.406526297,93.88361587
20,2009M09 [2009M09],100.8056395,5.374505287,96.31465499
21,2009M10 [2009M10],100.8056395,5.198338272,95.18111473
22,2009M11 [2009M11],100.7049345,5.239760001,92.47135319
23,2009M12 [2009M12],100.5035247,5.180347533,96.6907
24,2010M01 [2010M01],100,4.98673278,100
25,2010M02 [2010M02],99.89929507,5.041726387,96.38427902
26,2010M03 [2010M03],100.2014099,5.054687513,100.4465865
27,2010M04 [2010M04],99.89929507,5.089432334,101.8156555
28,2010M05 [2010M05],99.79859013,5.096138341,94.33583628
29,2010M06 [2010M06],99.49647533,5.161019569,92.06762572
30,2010M07 [2010M07],99.09365559,5.025449732,92.22441291
31,2010M08 [2010M08],99.09365559,5.096808603,92.73004689
32,2010M09 [2010M09],99.09365559,5.029199589,94.7008676
33,2010M10 [2010M10],99.59718026,5.041203026,98.76721522
34,2010M11 [2010M11],99.29506546,5.019963053,101.2758788
35,2010M12 [2010M12],99.19436052,4.93472821,105.1315205
36,2011M01 [2011M01],98.69083585,4.876875518,107.9883905
37,2011M02 [2011M02],98.59013092,4.671661371,109.9470399
38,2011M03 [2011M03],98.79154079,4.689670147,103.008574
39,2011M04 [2011M04],98.79154079,4.686316988,98.96167853
40,2011M05 [2011M05],98.99295065,4.605731152,101.4853294
41,2011M06 [2011M06],98.69083585,4.638482488,101.2859666
42,2011M07 [2011M07],98.59013092,4.710487531,107.7361391
43,2011M08 [2011M08],98.59013092,4.497545176,100.5909547
44,2011M09 [2011M09],98.69083585,4.184649308,96.60789967
45,2011M10 [2011M10],98.59013092,4.453914698,97.30159891
46,2011M11 [2011M11],98.18731118,4.487983238,93.72999482
47,2011M12 [2011M12],98.18731118,4.483892048,93.36452693
48,2012M01 [2012M01],97.88519637,4.546989328,95.65670936
49,2012M02 [2012M02],98.08660624,4.471649213,100.4170917
50,2012M03 [2012M03],98.28801611,4.513552963,103.1608684
51,2012M04 [2012M04],98.48942598,4.48867276,101.09278
52,2012M05 [2012M05],98.38872105,4.423025984,94.83332442
53,2012M06 [2012M06],98.18731118,4.339927505,92.98487258
54,2012M07 [2012M07],97.98590131,4.40883749,94.73979369
55,2012M08 [2012M08],98.08660624,4.197348031,97.16325975
56,2012M09 [2012M09],98.08660624,4.208151773,97.83677473
57,2012M10 [2012M10],98.08660624,4.155371074,95.40186637
58,2012M11 [2012M11],97.78449144,4.160222922,95.54385833
59,2012M12 [2012M12],97.58308157,4.259840762,100.1335803
60,2013M01 [2013M01],97.18026183,4.222158594,102.7329448
61,2013M02 [2013M02],97.18026183,4.254909624,104.0641975
62,2013M03 [2013M03],97.58308157,4.145444747,110.3094117
63,2013M04 [2013M04],97.98590131,4.113755014,115.5235428
64,2013M05 [2013M05],97.98590131,4.14376635,122.6842436
65,2013M06 [2013M06],97.88519637,3.853339331,115.0841359
66,2013M07 [2013M07],97.88519637,3.91459524,122.7553609
67,2013M08 [2013M08],98.08660624,4.092651813,119.9025242
68,2013M09 [2013M09],98.08660624,3.916881945,123.7476843
69,2013M10 [2013M10],98.28801611,4.060714823,125.1596897
70,2013M11 [2013M11],98.28801611,3.936260189,127.2809039
71,2013M12 [2013M12],98.28801611,3.604754874,129.216903
72,2014M01 [2014M01],97.78449144,3.700210608,128.2535831
73,2014M02 [2014M02],97.88519637,3.634056927,122.3111643
74,2014M03 [2014M03],98.18731118,3.682607204,122.6238975
75,2014M04 [2014M04],100.2014099,3.661209539,120.62118
76,2014M05 [2014M05],100.2014099,3.561191491,120.3229816
77,2014M06 [2014M06],100.1007049,3.67203052,126.6472909
78,2014M07 [2014M07],100.2014099,3.822004601,129.094914
79,2014M08 [2014M08],100.3021148,3.477448763,127.4025808
80,2014M09 [2014M09],100.3021148,3.508267941,126.9453697
81,2014M10 [2014M10],100.5035247,3.559240052,121.6637463
82,2014M11 [2014M11],100.3021148,3.399581987,126.0427732
83,2014M12 [2014M12],100.3021148,3.370808863,125.5333184
84,2015M01 [2015M01],100,3.497898056,124.9126958
85,2015M02 [2015M02],100,3.534897089,129.921
86,2015M03 [2015M03],100.3021148,3.413024227,136.2555248
87,2015M04 [2015M04],100.7049345,3.395572253,141.2444141
88,2015M05 [2015M05],100.7049345,3.368982625,140.9484753
89,2015M06 [2015M06],100.7049345,3.380711377,140.8617474
90,2015M07 [2015M07],100.7049345,3.420022275,141.0933596
91,2015M08 [2015M08],100.9063444,3.364109585,138.592736
92,2015M09 [2015M09],101.0070493,3.402806818,127.6730289
93,2015M10 [2015M10],101.1077543,3.15427726,130.7760003
94,2015M11 [2015M11],101.1077543,3.279552767,136.3423813
95,2015M12 [2015M12],101.1077543,3.247213058,134.767777
96,2016M01 [2016M01],100.5035247,3.1948631,124.9541004
97,2016M02 [2016M02],100.6042296,3.244804034,121.9066846
98,2016M03 [2016M03],100.9063444,3.236349441,127.8491131
99,2016M04 [2016M04],101.3091641,3.218857269,128.7917762
100,2016M05 [2016M05],101.3091641,3.172040958,129.840569
101,2016M06 [2016M06],101.2084592,3.091546763,130.2768746
102,2016M07 [2016M07],101.0070493,3.013135865,132.7771473
103,2016M08 [2016M08],101.1077543,3.157953876,139.8987806
104,2016M09 [2016M09],101.1077543,2.98675597,140.5401003
105,2016M10 [2016M10],101.3091641,2.951532062,140.3423037
106,2016M11 [2016M11],101.2084592,3.063504463,138.7521738
107,2016M12 [2016M12],101.1077543,3.027541033,140.119604
108,2017M01 [2017M01],100.6042296,3.002778161,142.8998494
109,2017M02 [2017M02],100.5035247,2.861698753,145.1104332
110,2017M03 [2017M03],100.6042296,2.752334585,146.3048432
111,2017M04 [2017M04],101.0070493,2.745951417,145.4708707
112,2017M05 [2017M05],101.1077543,3.062359085,150.1297693
113,2017M06 [2017M06],101.0070493,2.80021424,154.4031678
114,2017M07 [2017M07],100.9063444,2.807207335,152.4900136
115,2017M08 [2017M08],101.1077543,2.760624605,153.0234974
116,2017M09 [2017M09],101.0070493,2.780797743,153.6467062
117,2017M10 [2017M10],101.3091641,2.749146582,160.8527251
118,2017M11 [2017M11],101.3091641,2.647865541,170.5600876
119,2017M12 [2017M12],101.2084592,2.709336747,172.8816299
120,2018M01 [2018M01],100.7049345,2.405163463,184.9002798
121,2018M02 [2018M02],100.9063444,2.576575542,174.0733942
122,2018M03 [2018M03],100.9063444,2.458296341,172.3738639
123,2018M04 [2018M04],101.2084592,2.459948982,173.7096958
124,2018M05 [2018M05],101.2084592,2.260827349,175.7830497
125,2018M06 [2018M06],101.0070493,2.50869163,175.0138611
126,2018M07 [2018M07],100.9063444,2.505761215,171.0450428
127,2018M08 [2018M08],101.3091641,2.464926966,173.0624965
128,2018M09 [2018M09],101.2084592,2.37581287,176.5094426
129,2018M10 [2018M10],101.4098691,2.43946656,171.9098516
130,2018M11 [2018M11],101.4098691,2.442671754,165.4833839
131,2018M12 [2018M12],101.3091641,2.396248595,160.0084962
132,2019M01 [2019M01],101.1077543,2.413000101,160.3354458
133,2019M02 [2019M02],101.2084592,2.387352482,163.4022024
134,2019M03 [2019M03],101.2084592,2.456741725,164.5923002
135,2019M04 [2019M04],101.611279,2.45593608,168.0031856
136,2019M05 [2019M05],101.510574,2.348455586,165.3989656
137,2019M06 [2019M06],101.3091641,2.308420344,166.5098561
138,2019M07 [2019M07],101.2084592,2.303705125,170.5433656
139,2019M08 [2019M08],101.611279,2.270748957,165.9872949
140,2019M09 [2019M09],101.510574,2.376075617,171.6513001
141,2019M10 [2019M10],101.8126888,2.433676491,175.3485829
142,2019M11 [2019M11],101.8126888,2.241129317,182.7319965
143,2019M12 [2019M12],101.9133938,2.188772398,185.2376574
144,2020M01 [2020M01],101.510574,2.31459789,184.7203527
145,2020M02 [2020M02],101.4098691,2.392568876,180.0190922
146,2020M03 [2020M03],101.510574,2.554743896,150.9372592
147,2020M04 [2020M04],101.510574,2.642262427,152.2487498
148,2020M05 [2020M05],101.611279,2.83411552,163.5467793
149,2020M06 [2020M06],101.510574,2.83411552,178.505658
150,2020M07 [2020M07],101.510574,2.83411552,179.8314378
