level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],81.69230769,5.845929098,169.2442636
1,2008M02 [2008M02],82.46153846,6.179959975,160.817692
2,2008M03 [2008M03],83.38461538,5.756639557,167.4663459
3,2008M04 [2008M04],84.46153846,5.585899302,176.8159182
4,2008M05 [2008M05],85.38461538,5.577951114,196.5828902
5,2008M06 [2008M06],86.15384615,5.822699261,196.1498878
6,2008M07 [2008M07],86.92307692,6.022533922,178.4281106
7,2008M08 [2008M08],87.84615385,6.302575208,141.3940234
8,2008M09 [2008M09],88.92307692,6.649783207,103.9736425
9,2008M10 [2008M10],90.15384615,6.831263443,58.78626713
10,2008M11 [2008M11],91.07692308,7.078471469,48.08691267
11,2008M12 [2008M12],91.84615385,7.504902797,45.06936285
12,2009M01 [2009M01],92.92307692,7.586913538,32.90516434
13,2009M02 [2009M02],94.46153846,8.47235774,30.34170651
14,2009M03 [2009M03],95.84615385,8.239723391,37.23717625
15,2009M04 [2009M04],96.61538462,8.342222488,46.23892305
16,2009M05 [2009M05],97.07692308,8.680059456,59.79320375
17,2009M06 [2009M06],97.38461538,8.666287175,66.40733562
18,2009M07 [2009M07],97.53846154,8.433914543,58.80152072
19,2009M08 [2009M08],98,8.297217887,65.52739735
20,2009M09 [2009M09],98.61538462,8.052232605,75.85424801
21,2009M10 [2009M10],98.76923077,7.844199672,91.88858497
22,2009M11 [2009M11],99.07692308,8.387950549,95.77852713
23,2009M12 [2009M12],99.53846154,7.913223998,91.95504201
24,2010M01 [2010M01],100,8.155494283,100
25,2010M02 [2010M02],100.4615385,7.787528194,92.00411811
26,2010M03 [2010M03],100.9230769,7.863251779,100.6717026
27,2010M04 [2010M04],101.2307692,7.72870746,108.7084719
28,2010M05 [2010M05],101.3846154,7.491221279,89.26579855
29,2010M06 [2010M06],101.5384615,7.158853987,86.87910577
30,2010M07 [2010M07],101.8461538,7.123505695,89.89443242
31,2010M08 [2010M08],102.6153846,7.193522515,94.19086536
32,2010M09 [2010M09],103.6923077,7.032540098,94.20313966
33,2010M10 [2010M10],104.6153846,6.929600704,102.3364035
34,2010M11 [2010M11],105.2307692,6.760916501,101.4279491
35,2010M12 [2010M12],106,6.922276799,110.4054638
36,2011M01 [2011M01],107.2307692,6.879564189,123.0813063
37,2011M02 [2011M02],108,6.81242869,127.4218364
38,2011M03 [2011M03],108.7692308,6.488989998,137.0816555
39,2011M04 [2011M04],109.2307692,6.731583991,143.468089
40,2011M05 [2011M05],109.6923077,6.498551822,131.0163438
41,2011M06 [2011M06],110,6.441091529,132.2635721
42,2011M07 [2011M07],110.4615385,6.717582097,137.2210417
43,2011M08 [2011M08],110.9230769,6.392799042,114.2651407
44,2011M09 [2011M09],111.3846154,6.405240888,97.56917329
45,2011M10 [2011M10],112,6.313870563,89.22651308
46,2011M11 [2011M11],112.6153846,6.352808354,95.1939262
47,2011M12 [2011M12],113.0769231,5.922227812,88.38028294
48,2012M01 [2012M01],113.6923077,5.720267492,93.28902227
49,2012M02 [2012M02],114.1538462,5.721765624,109.0513148
50,2012M03 [2012M03],114.6153846,5.911714961,113.618676
51,2012M04 [2012M04],115.0769231,5.352417567,107.065974
52,2012M05 [2012M05],115.3846154,5.494300638,87.22970581
53,2012M06 [2012M06],115.6923077,5.516409484,77.61094847
54,2012M07 [2012M07],116.3076923,5.409323956,82.71717961
55,2012M08 [2012M08],117.0769231,5.396844668,87.28413762
56,2012M09 [2012M09],117.8461538,5.28990555,93.04682602
57,2012M10 [2012M10],118.4615385,5.197393059,93.23262397
58,2012M11 [2012M11],119.0769231,5.233983261,88.31539531
59,2012M12 [2012M12],119.5384615,5.02056168,95.68039592
60,2013M01 [2013M01],120.1538462,5.452964019,103.6981325
61,2013M02 [2013M02],120.6153846,5.332686829,102.5861714
62,2013M03 [2013M03],121.0769231,5.414478091,95.32534346
63,2013M04 [2013M04],121.6923077,5.368863062,87.1574315
64,2013M05 [2013M05],122,5.48513396,87.97899003
65,2013M06 [2013M06],122.4615385,5.59486009,77.73537362
66,2013M07 [2013M07],122.7692308,5.513129326,79.57306164
67,2013M08 [2013M08],123.3846154,5.496623812,78.43300575
68,2013M09 [2013M09],124.3076923,5.57766084,84.51222873
69,2013M10 [2013M10],125.0769231,5.587285478,90.48706376
70,2013M11 [2013M11],125.6923077,5.431801131,86.05086449
71,2013M12 [2013M12],126.3076923,5.518363567,84.45933201
72,2014M01 [2014M01],126.7692308,5.280344166,79.45243769
73,2014M02 [2014M02],127.3846154,5.241653076,73.14358261
74,2014M03 [2014M03],128.4615385,5.1118201,62.46175802
75,2014M04 [2014M04],129.5384615,5.092625116,65.00948883
76,2014M05 [2014M05],130.6153846,5.068359183,71.33610943
77,2014M06 [2014M06],131.6923077,5.074808039,77.70383685
78,2014M07 [2014M07],132.4615385,5.114773915,74.30368893
79,2014M08 [2014M08],133.2307692,5.100272625,66.32438659
80,2014M09 [2014M09],134.4615385,5.17759621,61.73468402
81,2014M10 [2014M10],135.5384615,5.180816947,51.43915664
82,2014M11 [2014M11],136.9230769,5.229398935,43.58670127
83,2014M12 [2014M12],140.4615385,5.207429651,28.94787866
84,2015M01 [2015M01],145.3846154,5.198611643,23.26991931
85,2015M02 [2015M02],148.7692308,5.564346461,26.35065425
86,2015M03 [2015M03],150.9230769,5.609494332,28.31867798
87,2015M04 [2015M04],152.1538462,5.605954596,37.30552809
88,2015M05 [2015M05],152.9230769,5.650565749,40.71737876
89,2015M06 [2015M06],153.6923077,5.557381398,34.24620165
90,2015M07 [2015M07],154.3076923,5.511870199,30.4928977
91,2015M08 [2015M08],155.3846154,5.59400903,24.09409273
92,2015M09 [2015M09],156.6153846,5.478022628,23.31885053
93,2015M10 [2015M10],157.6923077,5.579183612,26.36731412
94,2015M11 [2015M11],158.6153846,5.835546545,25.97410498
95,2015M12 [2015M12],159.5384615,5.704713636,22.00713937
96,2016M01 [2016M01],160.9230769,5.507447987,17.50266661
97,2016M02 [2016M02],162,5.579055085,18.35753425
98,2016M03 [2016M03],162.9230769,5.816308581,23.76582684
99,2016M04 [2016M04],163.6923077,5.812087546,26.7738712
100,2016M05 [2016M05],164.4615385,5.644738588,27.10958836
101,2016M06 [2016M06],165.2307692,5.54893601,27.78538503
102,2016M07 [2016M07],165.6923077,5.495688028,28.6375925
103,2016M08 [2016M08],166.3076923,5.484273316,28.80432568
104,2016M09 [2016M09],167.2307692,5.474751586,29.86479926
105,2016M10 [2016M10],167.8461538,5.482338543,31.19107602
106,2016M11 [2016M11],168.4615385,5.432416352,30.36763166
107,2016M12 [2016M12],169.0769231,5.203744787,35.38033908
108,2017M01 [2017M01],169.6923077,5.320873214,38.20172277
109,2017M02 [2017M02],170,5.396273992,38.91808962
110,2017M03 [2017M03],170.1538462,5.222698484,37.46639419
111,2017M04 [2017M04],170.4615385,5.211714692,38.30866743
112,2017M05 [2017M05],170.6153846,5.254108411,37.70550561
113,2017M06 [2017M06],170.9230769,5.235929193,34.15979658
114,2017M07 [2017M07],171.0769231,5.277370152,33.52497387
115,2017M08 [2017M08],171.3846154,5.172376647,34.40020876
116,2017M09 [2017M09],171.8461538,5.169256512,38.0590547
117,2017M10 [2017M10],172.1538462,5.087433139,38.54117608
