level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],88.11412665,22.10115169,105.0520539
1,2008M02 [2008M02],88.67084203,22.17751157,102.1637218
2,2008M03 [2008M03],89.79819068,22.2707221,101.6559635
3,2008M04 [2008M04],90.02087683,21.92625902,107.4721959
4,2008M05 [2008M05],90.1322199,22.01845931,114.4876896
5,2008M06 [2008M06],91.13430759,21.93893862,105.1998327
6,2008M07 [2008M07],91.70494085,23.55857955,98.18151943
7,2008M08 [2008M08],92.15031315,23.13035696,94.76848105
8,2008M09 [2008M09],92.92971468,23.18376556,84.81077491
9,2008M10 [2008M10],93.2776618,22.47992411,57.74102708
10,2008M11 [2008M11],93.50034795,22.4291566,52.84929576
11,2008M12 [2008M12],93.83437717,22.39701718,56.94212855
12,2009M01 [2009M01],94.50243563,22.22530883,57.53521538
13,2009M02 [2009M02],95.62978427,22.3027499,54.39041072
14,2009M03 [2009M03],96.97981907,22.40135323,53.51807412
15,2009M04 [2009M04],97.3138483,22.72145383,62.29381808
16,2009M05 [2009M05],97.64787752,22.86790061,71.05490411
17,2009M06 [2009M06],97.98190675,22.71862572,76.01549284
18,2009M07 [2009M07],98.77522617,24.91173403,78.49158732
19,2009M08 [2009M08],99.22059847,24.42368787,84.42090367
20,2009M09 [2009M09],99.44328462,24.49492138,90.38988325
21,2009M10 [2009M10],99.44328462,25.00871381,93.45671644
22,2009M11 [2009M11],99.44328462,24.98100378,95.98034834
23,2009M12 [2009M12],99.77731385,24.95087119,98.33973574
24,2010M01 [2010M01],100,24.61385614,100
25,2010M02 [2010M02],100.7933194,24.6610932,93.7509031
26,2010M03 [2010M03],101.7397356,24.71667666,102.8417176
27,2010M04 [2010M04],101.7397356,24.71803923,106.6533072
28,2010M05 [2010M05],101.7397356,24.84270042,96.22403395
29,2010M06 [2010M06],102.1572721,24.71947434,95.63993558
30,2010M07 [2010M07],102.2964509,25.471755,98.43723625
31,2010M08 [2010M08],102.2964509,25.10629351,101.781275
32,2010M09 [2010M09],102.7139875,25.13264121,107.5504919
33,2010M10 [2010M10],102.8531663,24.72147392,116.7175136
34,2010M11 [2010M11],102.8531663,24.70273253,120.7147972
35,2010M12 [2010M12],102.9923452,24.68044888,125.4869097
36,2011M01 [2011M01],102.9923452,24.55367159,125.0583496
37,2011M02 [2011M02],103.6882394,24.5774684,122.1312522
38,2011M03 [2011M03],104.8016701,24.58484773,122.9004641
39,2011M04 [2011M04],105.0800278,25.19082133,130.1992768
40,2011M05 [2011M05],105.2192067,25.25666468,125.3644171
41,2011M06 [2011M06],105.6367432,25.21825666,124.2108041
42,2011M07 [2011M07],106.3326374,24.91794394,127.0965216
43,2011M08 [2011M08],106.3326374,24.76027557,113.5187558
44,2011M09 [2011M09],106.6109951,24.77077378,108.3240495
45,2011M10 [2011M10],106.750174,24.54438971,105.2513583
46,2011M11 [2011M11],106.8893528,24.54431466,105.7353921
47,2011M12 [2011M12],107.0285317,24.5412775,106.0479041
48,2012M01 [2012M01],107.585247,24.80376386,112.2885683
49,2012M02 [2012M02],108.1419624,24.80882447,120.3847641
50,2012M03 [2012M03],109.5337509,24.79174591,120.1966764
51,2012M04 [2012M04],109.8121086,24.42265498,116.5669014
52,2012M05 [2012M05],109.8121086,24.43932966,110.5583222
53,2012M06 [2012M06],110.5080028,24.4650711,108.8754424
54,2012M07 [2012M07],111.0647182,25.04636748,111.4355382
55,2012M08 [2012M08],111.203897,25.03123557,115.6996854
56,2012M09 [2012M09],111.6214335,25.04354487,116.7842276
57,2012M10 [2012M10],111.7606124,25.24164077,114.106895
58,2012M11 [2012M11],111.8997912,25.24420509,114.8288834
