level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],101.0849155,1.17,107.292037
1,2008M02 [2008M02],101.0849155,1.39,114.5464307
2,2008M03 [2008M03],101.0849155,1.33,118.1728743
3,2008M04 [2008M04],101.1892343,1.16,119.7442927
4,2008M05 [2008M05],101.5021907,1.32,120.7512153
5,2008M06 [2008M06],101.7108283,1.25,107.3751222
6,2008M07 [2008M07],101.9194659,1.49,95.32650889
7,2008M08 [2008M08],100.1460463,1.37,92.13134961
8,2008M09 [2008M09],100.0417275,1.36,84.0073773
9,2008M10 [2008M10],100.0417275,1.2,63.39657503
10,2008M11 [2008M11],99.72877112,1.54,55.11443208
11,2008M12 [2008M12],99.62445233,1.69,55.55886819
12,2009M01 [2009M01],99.52013353,1.87,57.88442687
13,2009M02 [2009M02],100.0417275,1.78,56.19179723
14,2009M03 [2009M03],100.0417275,1.76,53.99663052
15,2009M04 [2009M04],100.1460463,1.88,58.88734181
16,2009M05 [2009M05],99.20717713,1.6,71.39692562
17,2009M06 [2009M06],99.52013353,1.49,79.22740887
18,2009M07 [2009M07],99.52013353,1.39,79.6949887
19,2009M08 [2009M08],99.52013353,1.32,86.32061075
20,2009M09 [2009M09],99.62445233,1.32,94.11611748
21,2009M10 [2009M10],99.62445233,1.12,98.1739315
22,2009M11 [2009M11],99.62445233,1.1,94.78451011
23,2009M12 [2009M12],99.62445233,1.11,97.82037631
24,2010M01 [2010M01],100,1.02,100
25,2010M02 [2010M02],100.0208638,0.94,95.93786474
26,2010M03 [2010M03],100.1043188,0.89,105.4353483
27,2010M04 [2010M04],100.4590027,0.95,108.2668096
28,2010M05 [2010M05],100.4902984,1.45,106.7096797
29,2010M06 [2010M06],100.6259128,1.26,109.2977324
30,2010M07 [2010M07],100.6467765,1.05,116.3692241
31,2010M08 [2010M08],100.6572084,1.01,126.1521982
32,2010M09 [2010M09],100.6780722,0.94,138.0529959
33,2010M10 [2010M10],100.6885041,0.99,149.033183
34,2010M11 [2010M11],100.6885041,1.06,154.4203243
35,2010M12 [2010M12],100.7406635,0.86,154.8851892
36,2011M01 [2011M01],100.782391,0.7,150.3800425
37,2011M02 [2011M02],100.8449823,0.69,144.6355389
38,2011M03 [2011M03],100.8762779,0.68,152.1233274
39,2011M04 [2011M04],100.9597329,0.54,165.0717177
40,2011M05 [2011M05],101.0223242,0.45,160.9798191
41,2011M06 [2011M06],101.0744836,0.5,153.1165757
42,2011M07 [2011M07],101.1162111,0.63,166.1242216
43,2011M08 [2011M08],101.1579387,0.72,163.7237779
44,2011M09 [2011M09],101.0953474,0.76,151.0232219
45,2011M10 [2011M10],101.1370749,0.64,136.8945711
46,2011M11 [2011M11],101.1370749,0.87,143.1783259
47,2011M12 [2011M12],101.2309618,0.61,150.2240655
48,2012M01 [2012M01],101.2726893,0.61,151.9981012
49,2012M02 [2012M02],101.303985,0.67,165.979985
50,2012M03 [2012M03],101.4291675,0.7,174.5045391
51,2012M04 [2012M04],101.5230545,0.78,175.027368
