level_0,index,Core CPI,Unemployment rate,Stock Markets
0,2008M01 [2008M01],95.42349727,5.2,135.0710898
1,2008M02 [2008M02],95.77641166,5.2,132.7656913
2,2008M03 [2008M03],96.14071038,5.3,130.2842498
3,2008M04 [2008M04],96.61885246,5.2,135.4434466
4,2008M05 [2008M05],97.02868852,5.4,138.4035376
5,2008M06 [2008M06],97.33606557,5.5,129.3514956
6,2008M07 [2008M07],96.99453552,5.7,121.2956427
7,2008M08 [2008M08],97.64344262,5.9,117.5013146
8,2008M09 [2008M09],97.71174863,6,107.255132
9,2008M10 [2008M10],97.67759563,6.2,81.86689529
10,2008M11 [2008M11],97.74590164,6.4,72.23007331
11,2008M12 [2008M12],97.49544627,6.5,70.81488828
12,2009M01 [2009M01],96.86930783,6.7,69.50359278
13,2009M02 [2009M02],97.51821494,7.1,65.97543666
14,2009M03 [2009M03],97.98497268,7.3,60.41036352
15,2009M04 [2009M04],98.30373406,7.6,68.03726831
16,2009M05 [2009M05],98.69080146,7.8,77.55392913
17,2009M06 [2009M06],98.9640255,7.9,81.31443252
18,2009M07 [2009M07],99.02094718,7.9,81.84808802
19,2009M08 [2009M08],99.47632058,7.8,90.20973067
20,2009M09 [2009M09],99.63570128,7.9,94.32089389
21,2009M10 [2009M10],99.65846995,7.8,96.01932588
22,2009M11 [2009M11],99.86338798,7.8,99.57777302
23,2009M12 [2009M12],100.4098361,7.7,98.34576125
24,2010M01 [2010M01],100,7.9,100
25,2010M02 [2010M02],100.4895264,8,93.59293937
26,2010M03 [2010M03],101.0018215,8,96.83449265
27,2010M04 [2010M04],101.5141166,7.9,100.8659747
28,2010M05 [2010M05],101.798725,7.9,88.18510782
29,2010M06 [2010M06],102.071949,7.8,87.54506814
30,2010M07 [2010M07],101.6848816,7.8,91.18692214
31,2010M08 [2010M08],102.4476321,7.8,95.37737912
32,2010M09 [2010M09],102.4704007,7.9,99.13825653
33,2010M10 [2010M10],102.5956284,7.9,104.2377938
34,2010M11 [2010M11],102.7094718,7.9,105.6583815
