country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Country,Population,Pop. Density (per sq. mi.),Birthrate,Deathrate,Agriculture,Industry,Service,total_cases,total_cases_per_million,new_cases_per_million,new_deaths_per_million,stringency_index,population,population_density,gdp_per_capita,hospital_beds_per_thousand
Brazil,2/15/2020,5,4,-5,8,6,0,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/16/2020,2,3,-13,3,0,1,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/17/2020,-2,0,-12,9,19,-1,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/18/2020,-3,-1,-11,9,15,-1,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/19/2020,-1,-2,-5,8,14,-1,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/20/2020,1,7,2,11,15,-2,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/21/2020,2,10,1,12,13,-1,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/22/2020,-3,6,12,6,-4,0,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/23/2020,4,7,32,2,-3,1,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
Brazil,2/24/2020,-14,-7,69,-27,-45,8,Brazil,188078227,"22,1",16.56,6.17,0.084,0.4,0.516,0,0,0,0,5.56,212559409,25.04,14103.452,2.2
