index,GDP in  US$
2008Q1 [2008Q1],3662800
2008Q2 [2008Q2],3701400
2008Q3 [2008Q3],3708800
2008Q4 [2008Q4],3639900
2009Q1 [2009Q1],3598600
2009Q2 [2009Q2],3588200
2009Q3 [2009Q3],3605100
2009Q4 [2009Q4],3657000
2010Q1 [2010Q1],3680400
2010Q2 [2010Q2],3731500
2010Q3 [2010Q3],3770000
2010Q4 [2010Q4],3810200
2011Q1 [2011Q1],3821500
2011Q2 [2011Q2],3874100
2011Q3 [2011Q3],3898000
2011Q4 [2011Q4],3949100
2012Q1 [2012Q1],4005000
2012Q2 [2012Q2],4038100
2012Q3 [2012Q3],4064300
2012Q4 [2012Q4],4089700
2013Q1 [2013Q1],4142400
2013Q2 [2013Q2],4159500
2013Q3 [2013Q3],4212200
2013Q4 [2013Q4],4270800
2014Q1 [2014Q1],4276200
2014Q2 [2014Q2],4358200
2014Q3 [2014Q3],4430400
2014Q4 [2014Q4],4462500
2015Q1 [2015Q1],4496100
2015Q2 [2015Q2],4554900
2015Q3 [2015Q3],4586200
2015Q4 [2015Q4],4587700
2016Q1 [2016Q1],4606100
2016Q2 [2016Q2],4659300
2016Q3 [2016Q3],4701700
2016Q4 [2016Q4],4748000
2017Q1 [2017Q1],4797600
2017Q2 [2017Q2],4839200
2017Q3 [2017Q3],4902900
2017Q4 [2017Q4],4979700
2018Q1 [2018Q1],5040800
2018Q2 [2018Q2],5127600
2018Q3 [2018Q3],5187500
2018Q4 [2018Q4],5224500
2019Q1 [2019Q1],5274700
2019Q2 [2019Q2],5335100
2019Q3 [2019Q3],5385600
2019Q4 [2019Q4],5432300
2020Q1 [2020Q1],5384900
2020Q2 [2020Q2],5384900
2020Q3 [2020Q3],5384900
