response,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Country,Population,population_density,Birthrate,Deathrate,Agriculture,Industry,Service,total_cases,total_cases_per_million,new_cases_per_million,new_deaths_per_million,stringency_index,population,population_density,hospital_beds_per_thousand
0.5832273845144105,5,4,-5,8,6,0,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.6115734947276019,2,3,-13,3,0,1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.6398681334520608,-2,0,-12,9,19,-1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.6681011262793115,-3,-1,-11,9,15,-1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.6962146135035239,-1,-2,-5,8,14,-1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.7242426706860119,1,7,2,11,15,-2,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.7525235209241457,2,10,1,12,13,-1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.7808753159034287,-3,6,12,6,-4,0,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.8088400746195843,4,7,32,2,-3,1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.8367379506790993,-14,-7,69,-27,-45,8,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.8645812766581864,-31,-29,51,-35,-61,10,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,0,0.0,0.0,0.0,5.56,212559409,25.04,2.2
0.8923344877260968,-18,-11,-8,-17,-18,6,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1,0.005,0.005,0.0,5.56,212559409,25.04,2.2
0.9200531037427222,-8,2,-11,1,10,1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1,0.005,0.0,0.0,5.56,212559409,25.04,2.2
0.94809530954508,-5,3,-17,2,13,1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1,0.005,0.0,0.0,5.56,212559409,25.04,2.2
0.976297126918752,-3,5,-23,-2,5,3,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1,0.005,0.0,0.0,5.56,212559409,25.04,2.2
1.0042157833795742,-9,3,-34,-10,-1,5,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2,0.009000000000000001,0.005,0.0,5.56,212559409,25.04,2.2
1.0152261842323984,-6,1,-25,6,20,0,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2,0.009000000000000001,0.0,0.0,11.11,212559409,25.04,2.2
1.0263063513293331,-5,2,-21,6,15,-1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2,0.009000000000000001,0.0,0.0,11.11,212559409,25.04,2.2
1.0374251431915384,-1,2,-11,7,16,-1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2,0.009000000000000001,0.0,0.0,11.11,212559409,25.04,2.2
1.0486382477401728,0,7,-5,10,18,-2,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,3,0.013999999999999999,0.005,0.0,11.11,212559409,25.04,2.2
1.0602995961915431,6,11,-7,13,18,-2,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,8,0.038,0.024,0.0,11.11,212559409,25.04,2.2
1.0722364784352072,9,13,-14,8,7,0,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,13,0.061,0.024,0.0,11.11,212559409,25.04,2.2
1.0839929691116263,8,11,-17,2,3,1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,13,0.061,0.0,0.0,11.11,212559409,25.04,2.2
1.0958838521948309,1,5,-12,12,21,-2,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,25,0.11800000000000001,0.055999999999999994,0.0,11.11,212559409,25.04,2.2
1.1079085055125524,0,5,-11,11,17,-2,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,25,0.11800000000000001,0.0,0.0,11.11,212559409,25.04,2.2
1.1200108559971134,1,2,-6,10,17,-1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,34,0.16,0.042,0.0,11.11,212559409,25.04,2.2
1.1322185887868037,-2,4,-5,10,17,-2,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,52,0.245,0.085,0.0,28.7,212559409,25.04,2.2
1.144855148927117,0,7,-8,10,18,-2,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,77,0.36200000000000004,0.11800000000000001,0.0,37.96,212559409,25.04,2.2
1.1577155232550629,-2,7,-15,0,6,1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,98,0.461,0.099,0.0,42.13,212559409,25.04,2.2
1.1703103967861002,-8,7,-21,-7,0,3,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,121,0.569,0.10800000000000001,0.0,42.13,212559409,25.04,2.2
1.1829208546246115,-11,6,-23,-4,14,1,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,200,0.941,0.37200000000000005,0.0,42.13,212559409,25.04,2.2
1.1955130725560543,-19,7,-28,-15,3,4,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,234,1.101,0.16,0.0,57.87,212559409,25.04,2.2
1.2079990877927873,-25,5,-28,-22,-6,7,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,291,1.369,0.268,0.005,60.65,212559409,25.04,2.2
1.2203768131008728,-36,2,-34,-31,-17,10,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,428,2.0140000000000002,0.645,0.013999999999999999,66.2,212559409,25.04,2.2
1.2329428130910256,-45,0,-45,-37,-21,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,621,2.9219999999999997,0.9079999999999999,0.009000000000000001,66.2,212559409,25.04,2.2
1.245468810723564,-63,-16,-66,-50,-30,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,904,4.253,1.331,0.024,71.76,212559409,25.04,2.2
1.2574464997470285,-72,-33,-75,-60,-34,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1128,5.307,1.054,0.033,71.76,212559409,25.04,2.2
1.2691428169096324,-65,-26,-61,-58,-42,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1546,7.273,1.9669999999999999,0.033,71.76,212559409,25.04,2.2
1.2805151017907166,-71,-33,-62,-63,-51,22,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,1891,8.896,1.6230000000000002,0.042,71.76,212559409,25.04,2.2
1.2914722226945852,-69,-32,-57,-63,-52,23,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2201,10.355,1.4580000000000002,0.055999999999999994,71.76,212559409,25.04,2.2
1.3020148214422291,-69,-29,-54,-62,-50,22,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2433,11.446,1.091,0.052000000000000005,71.76,212559409,25.04,2.2
1.312448188382894,-67,-26,-56,-60,-48,23,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,2915,13.714,2.2680000000000002,0.094,74.54,212559409,25.04,2.2
1.3225587313653984,-70,-27,-64,-59,-41,19,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,3417,16.076,2.362,0.071,74.54,212559409,25.04,2.2
1.3318586133726962,-71,-35,-70,-62,-34,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,3904,18.367,2.291,0.10400000000000001,74.54,212559409,25.04,2.2
1.3406407149960589,-62,-26,-55,-59,-43,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,4256,20.023,1.656,0.10400000000000001,74.54,212559409,25.04,2.2
1.3488933552612283,-60,-21,-53,-58,-45,19,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,4579,21.541999999999998,1.52,0.10800000000000001,74.54,212559409,25.04,2.2
1.3565608581320123,-58,-19,-48,-57,-45,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,5717,26.896,5.354,0.198,74.54,212559409,25.04,2.2
1.3583086670732856,-59,-17,-48,-57,-45,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,6836,32.16,5.263999999999999,0.188,74.54,212559409,25.04,2.2
1.3598588454621634,-60,-14,-52,-55,-42,20,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,7910,37.213,5.053,0.273,74.54,212559409,25.04,2.2
1.3610423200465511,-63,-13,-60,-53,-35,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,9056,42.605,5.391,0.282,74.54,212559409,25.04,2.2
1.361417084840281,-67,-24,-66,-57,-30,15,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,10278,48.354,5.749,0.34299999999999997,74.54,212559409,25.04,2.2
1.3613222304426529,-56,-14,-53,-53,-38,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,11130,52.361999999999995,4.008,0.254,74.54,212559409,25.04,2.2
1.3607917163143308,-53,-8,-50,-53,-40,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,12056,56.718,4.356,0.315,74.54,212559409,25.04,2.2
1.359813995503869,-52,-7,-46,-52,-40,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,13717,64.533,7.814,0.536,74.54,212559409,25.04,2.2
1.3584706787002605,-49,11,-40,-49,-41,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,15927,74.93,10.397,0.626,74.54,212559409,25.04,2.2
1.3571477851429186,-76,-38,-58,-69,-72,27,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,17857,84.009,9.08,0.6629999999999999,74.54,212559409,25.04,2.2
1.3557105816275985,-59,-5,-59,-52,-36,16,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,19638,92.38799999999999,8.379,0.541,74.54,212559409,25.04,2.2
1.353746622184564,-67,-25,-67,-55,-26,13,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,20727,97.512,5.122999999999999,0.32,74.54,212559409,25.04,2.2
1.3516191819221812,-54,-19,-52,-53,-35,17,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,22169,104.296,6.784,0.466,74.54,212559409,25.04,2.2
1.3493805543875648,-56,-20,-54,-55,-39,18,Brazil,188078227,22.1,16.56,6.17,0.084,0.4,0.516,23430,110.228,5.932,0.494,74.54,212559409,25.04,2.2
