country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Country,Population,Pop. Density (per sq. mi.),GDP ($ per capita),Birthrate,Deathrate,Agriculture,Industry,Service,_merge,location,total_cases,total_cases_per_million,new_cases_per_million,new_deaths_per_million,stringency_index,population,population_density,aged_65_older,aged_70_older,gdp_per_capita,hospital_beds_per_thousand
BR,Brazil,,,,,,2020-02-15,5.0,4.0,-5.0,8.0,6.0,0.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-16,2.0,3.0,-13.0,3.0,0.0,1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-17,-2.0,0.0,-12.0,9.0,19.0,-1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-18,-3.0,-1.0,-11.0,9.0,15.0,-1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-19,-1.0,-2.0,-5.0,8.0,14.0,-1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-20,1.0,7.0,2.0,11.0,15.0,-2.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-21,2.0,10.0,1.0,12.0,13.0,-1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-22,-3.0,6.0,12.0,6.0,-4.0,0.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-23,4.0,7.0,32.0,2.0,-3.0,1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-24,-14.0,-7.0,69.0,-27.0,-45.0,8.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-25,-31.0,-29.0,51.0,-35.0,-61.0,10.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,0.0,0.0,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-26,-18.0,-11.0,-8.0,-17.0,-18.0,6.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,1.0,0.005,0.005,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-27,-8.0,2.0,-11.0,1.0,10.0,1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,1.0,0.005,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-28,-5.0,3.0,-17.0,2.0,13.0,1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,1.0,0.005,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-02-29,-3.0,5.0,-23.0,-2.0,5.0,3.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,1.0,0.005,0.0,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-01,-9.0,3.0,-34.0,-10.0,-1.0,5.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,2.0,0.009000000000000001,0.005,0.0,5.56,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-02,-6.0,1.0,-25.0,6.0,20.0,0.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,2.0,0.009000000000000001,0.0,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-03,-5.0,2.0,-21.0,6.0,15.0,-1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,2.0,0.009000000000000001,0.0,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-04,-1.0,2.0,-11.0,7.0,16.0,-1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,2.0,0.009000000000000001,0.0,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-05,0.0,7.0,-5.0,10.0,18.0,-2.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,3.0,0.013999999999999999,0.005,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-06,6.0,11.0,-7.0,13.0,18.0,-2.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,8.0,0.038,0.024,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-07,9.0,13.0,-14.0,8.0,7.0,0.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,13.0,0.061,0.024,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-08,8.0,11.0,-17.0,2.0,3.0,1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,13.0,0.061,0.0,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-09,1.0,5.0,-12.0,12.0,21.0,-2.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,25.0,0.11800000000000001,0.055999999999999994,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-10,0.0,5.0,-11.0,11.0,17.0,-2.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,25.0,0.11800000000000001,0.0,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-11,1.0,2.0,-6.0,10.0,17.0,-1.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,34.0,0.16,0.042,0.0,11.11,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-12,-2.0,4.0,-5.0,10.0,17.0,-2.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,52.0,0.245,0.085,0.0,28.7,212559409.0,25.04,8.552,5.06,14103.452,2.2
BR,Brazil,,,,,,2020-03-13,0.0,7.0,-8.0,10.0,18.0,-2.0,Brazil,188078227,"22,1",7600.0,16.56,6.17,0.084,0.4,0.516,both,Brazil,77.0,0.36200000000000004,0.11800000000000001,0.0,37.96,212559409.0,25.04,8.552,5.06,14103.452,2.2
